"그룹","번호","뎁스","화면·기능","우선순위","세부 요소","비고"
"1. 사용자 앱","1.4·D","2","즐겨찾기","○v2","찜한 전문가(최신순·클릭→프로필)",""
"1. 사용자 앱","1.4·E","2","계정 관리","◐MVP","로그인 정보(이메일·소셜) / 개인정보·약관 / 로그아웃·탈퇴","알림 설정은 v2"
"1. 사용자 앱","1.5","1","로그인/회원가입","○선택","비회원 진단 가능·가치 경험 후 전환","lazy·전환 시점에만(1.3→1.5)"
"1. 사용자 앱","1.5.0","2","진입 트리거","○선택","결과 저장·매칭·마이 진입 시 시트 오픈","전환 트리거2"
"1. 사용자 앱","1.5.1","2","로그인·가입 선택","○선택","소셜(카카오·네이버·구글) 우선 / 이메일 보조","단일 시트"
"1. 사용자 앱","1.5.2","2","소셜 인증(OAuth)","○선택","콜백 / 신규→동의 / 기존→완료",""
"1. 사용자 앱","1.5.3","2","이메일 로그인","○선택","이메일+비번→인증",""
"1. 사용자 앱","1.5.4","2","이메일 회원가입","○선택","인증코드 발송·검증 / 중복확인·비번 규칙",""
"1. 사용자 앱","1.5.5","2","약관·필수 동의","○선택","만14세·이용약관·개인정보 필수 / 마케팅 선택","가입 게이트"
"1. 사용자 앱","1.5.6","2","가입·로그인 완료","○선택","토큰 발급→직전 맥락 복귀","비회원 결과→계정 영구 연결"
"1. 사용자 앱","1.5.7","2","비밀번호 찾기·재설정","○선택","이메일 인증→새 비번",""
"1. 사용자 앱","1.5.8","2","계정 연동·충돌 안내","○선택","동일 이메일·다른 소셜→통합 안내",""
"1. 사용자 앱","1.5.9","2","인증 에러·예외","○선택","401·취소·만료→재시도",""
"1. 사용자 앱","1.5.10","2","로그아웃·회원탈퇴","○선택","확인 모달→처리(데이터 파기)",""
"1. 사용자 앱","1.6","1","요청 & 매칭 라이프사이클","○v2","대기→수락·거절→진행중→완료(또는 취소·환불)","매칭하기 이후 상태 흐름"
"1. 사용자 앱","1.6.1","2","요청 보내기·확인","◐MVP","요청 요약·프로필 첨부 / [state]로그인 게이트(1.5) / 전송→대기","둘러보기·매칭 공통 착지"
"1. 사용자 앱","1.6.2","2","응답 대기","○v2","예상 응답시간·알림 예약 / [state]무응답→만료→재매칭",""
"1. 사용자 앱","1.6.3","2","수락됨","○v2","유저 알림 / 대화방 개설→1.7 / 유료 시 결제→1.8","진행 시작 트리거"
"1. 사용자 앱","1.6.4","2","거절·만료","○v2","알림 / 대안 추천 / 선결제 시 전액 환불→1.8.3",""
"1. 사용자 앱","1.6.5","2","진행중","○v2","스타일링 진행·대화로 소통 / 결과물 대기","결제 완료 후"
"1. 사용자 앱","1.6.6","2","완료","○v2","결과물 확인→완료 / 후기·평점(1.4·C) / 정산 트리거",""
"1. 사용자 앱","1.6.7","2","취소·분쟁","○v2","환불 정책(1.8.3) / 신고→어드민(3.B.3)","노쇼·불만족"
"1. 사용자 앱","1.7","1","대화(메시징)","○v2","1대1 / 동행 쇼핑 지역·장소는 대화에서 조율(위치 필드 없음)","수락 시 자동 개설·그 전 불가"
"1. 사용자 앱","1.7.1","2","대화방","○v2","텍스트·이미지·링크·파일 / 읽음 표시 / 상단 요청 요약 고정",""
"1. 사용자 앱","1.7.2","2","결과물 전달","○v2","추천 결과 카드(상품·코디·구매링크) / 유저 확인→완료","완료 트리거"
"1. 사용자 앱","1.7.3","2","알림·안전","○v2","새 메시지 알림 / 외부 직거래 차단 / 신고",""
"1. 사용자 앱","1.8","1","결제 & 정산(사용자)","○v2","트리거 수락 후 결제 요청","에스크로·MVP는 페이크도어 미구현"
"1. 사용자 앱","1.8.1","2","결제하기","○v2","금액+수수료 안내 / 카드·카카오·네이버·토스페이(PG) / [state]성공·실패·취소",""
"1. 사용자 앱","1.8.2","2","결제 상태","○v2","결제대기→완료(에스크로)→정산대기→정산완료 / 환불",""
"1. 사용자 앱","1.8.3","2","환불 규칙","○v2","미수락·취소 전액 / 진행 후 부분 / 노쇼 정책",""
"1. 사용자 앱","1.8.4","2","결제 내역·영수증","○v2","거래 내역·영수증 조회","마이 결제 내역"
"G. 공통","G.1","0","서비스 소개·작동 원리","★MVP","작동 방식 3스텝 / 정확도 근거","신뢰 형성"
"G. 공통","G.2","0","FAQ","○선택","자주 묻는 질문",""
"G. 공통","G.3","0","서비스 이용약관","★MVP","이용 조건·책임·분쟁","법적 필수"
"G. 공통","G.4","0","개인정보 처리방침","★MVP","수집·목적·보유·제3자·파기","체형·신체치수 민감정보"
"G. 공통","G.5","0","개인정보 수집·이용 동의","★MVP","진단 전 동의 체크·필수·선택 구분","진단 진입 게이트"
"G. 공통","G.6","0","알림","○선택","사용자 매칭·결과 / 전문가 새 요청·정산","양면 공통"
"G. 공통","G.7","0","404·에러","○선택","공유 URL 만료·네트워크 에러",""
"2. 전문가 앱","2","0","전문가 안내·혜택","□목업","수수료·정산·기대수익 / 1기 전문가 지원 CTA","공급자 랜딩·전부 목업"
"2. 전문가 앱","2.0.1","1","전문가 지원·등록","□목업","경력·전문분야·강점·포트폴리오 업로드",""
"2. 전문가 앱","2.0.2","1","심사·승인 대기","□목업","품질 관리 상태",""
"2. 전문가 앱","2.0.3","1","정산 계좌·세금 정보","□목업","입금 계좌·사업자·원천징수",""
"2. 전문가 앱","2.1","0","전문가 대시보드","□목업","들어온 요청·진행 중·가용 상태 토글","워크스페이스 홈"
"2. 전문가 앱","2.1.1","1","매칭 요청 상세","□목업","체형 프로필 수신 / 사이즈 번역 결과 수신 / 수락·거절","차별점 도구가 정확도 향상"
"2. 전문가 앱","2.1.1.1","2","고객 메시지·상담","□목업","자리·예산·취향 대화",""
"2. 전문가 앱","2.1.1.2","2","추천·결과 작성","□목업","온라인 상품·코디·구매링크 / 동행·컨설팅 예약·세션 노트",""
"2. 전문가 앱","2.2","0","서비스 상품 관리","□목업","서비스 전시·범위·시간·가격","사용자에게 보일 메뉴판"
"2. 전문가 앱","2.3","0","프로필·포트폴리오 관리","□목업","노출 프로필 편집·작업 사례·태그",""
"2. 전문가 앱","2.4","0","리뷰·평점 관리","□목업","받은 리뷰 열람·응대",""
"2. 전문가 앱","2.5","0","수익·정산","□목업","수수료 정산·수익 통계",""
"3. 어드민","3.A","0","A 사이즈 엔진·데이터","□목업","","핏팅의 심장"
"3. 어드민","3.A.1","1","브랜드·상품 사이즈 DB","□목업","브랜드x핏x사이즈 실측·출처·신뢰도 메타",""
"3. 어드민","3.A.2","1","엔진 정확도 모니터링","□목업","피드백 로그 오차 분석·자주 틀리는 지점",""
"3. 어드민","3.A.3","1","번역 규칙·파라미터","□목업","여유분·주관평가 cm 매핑 튜닝",""
"3. 어드민","3.A.4","1","수집 파이프라인 상태","□목업","크롤링 상태·신규 브랜드 커버리지",""
"3. 어드민","3.B","0","B 회원·거래 운영","□목업","",""
"3. 어드민","3.B.1","1","전문가 승인·심사 큐","□목업","승인·반려·품질 게이트",""
"3. 어드민","3.B.2","1","회원 관리","□목업","조회·정지·차단·CS",""
"3. 어드민","3.B.3","1","분쟁·환불·신고","□목업","노쇼·불만족 환불·신고 대응",""
"3. 어드민","3.B.4","1","정산 집행·수수료 정책","□목업","정산 승인·지급·수수료율",""
"3. 어드민","3.B.5","1","리뷰 관리","□목업","허위·악성 리뷰 조정",""
"3. 어드민","3.C","0","C 사업 현황","□목업","",""
"3. 어드민","3.C.1","1","운영 대시보드","□목업","GMV·수수료 매출·매칭 성사율",""
"3. 어드민","3.C.2","1","제품 메트릭 대시보드","□목업","진단 완료율·정확도·전환신호 추이",""
"3. 어드민","3.D","0","D B2B API 사업(v3)","□목업","","해자 교차 데이터"
"3. 어드민","3.D.1","1","API 고객(쇼핑몰) 관리","□목업","고객·계약·플랜",""
"3. 어드민","3.D.2","1","API 키 발급·관리","□목업","키 생성·권한·폐기",""
"3. 어드민","3.D.3","1","API 사용량·과금·매출","□목업","호출 기반 과금·매출 추적",""
"3. 어드민","3.D.4","1","API 소개(외부용)","□목업","데이터 자산 소개(반품 절감)",""
