"화면·기능","번호","그룹","뎁스","우선순위","세부 요소","비고"
"전문가 목록","1.2.4","1. 사용자 앱","2","★MVP","[state]0명·무결과→1기 모집·오픈 알림(페이크도어 재사용)","초기엔 늘 이 상태"
"전문가 카드","1.2.4.1","1. 사용자 앱","3","★MVP","대표이미지·매칭도·유형·이름·전문분야·태그·평점·가격·후기수","클릭 시 우측 프로필 모달"
"전문가 프로필","1.2.5","1. 사용자 앱","2","★MVP","서비스·가격·매칭도·이름·평점·후기수·소개글","기본 정보"
"전문 분야","1.2.5.1","1. 사용자 앱","3","★MVP","전문 분야 태그(포멀·세미정장·남성 등)",""
"포트폴리오","1.2.5.2","1. 사용자 앱","3","★MVP","결과 이미지 6개 / 전체 보기",""
"실제 후기","1.2.5.3","1. 사용자 앱","3","★MVP","최신순·없으면 안내",""
"서비스 정보","1.2.5.4","1. 사용자 앱","3","★MVP","서비스명·가격·방식(온·오프)·예상 기간",""
"요청하기","1.2.5.5","1. 사용자 앱","3","★MVP","전문가 정보 유지한 채 요청 화면 이동","→1.6.1"
"닫기","1.2.5.6","1. 사용자 앱","3","★MVP","X→목록 복귀",""
"AI 전문가 매칭(스타일링 요청)","1.3","1. 사용자 앱","1","★MVP","서비스 유형 온라인·동행·이미지 택1 필수",""
"상황 선택","1.3.1","1. 사용자 앱","2","★MVP","최대 2개·2개 시 나머지 비활성",""
"예산 선택","1.3.2","1. 사용자 앱","2","★MVP","5만 이하·5~10만·10~15만·15만 이상",""
"일정 입력","1.3.3","1. 사용자 앱","2","★MVP","캘린더(Date Picker)","지난 날짜 불가"
"한 줄 요청","1.3.4","1. 사용자 앱","2","★MVP","요청사항 입력","최대 100자"
"체형·사이즈 프로필 첨부","1.3.5","1. 사용자 앱","2","★MVP","토글·OFF 시 프로필 제외","기본 ON"
"전문가 매칭하기","1.3.6","1. 사용자 앱","2","★MVP","이 조건으로 매칭받기","필수 완료 시 활성화→추천 목록"
"매칭 결과(추천 목록)","1.3.7","1. 사용자 앱","2","◐MVP","추천 전문가 카드(매칭도순) / 선택→요청 보내기(1.6.1) / [state]0명→오픈 알림","매칭 직후 착지"
"마이페이지","1.4","1. 사용자 앱","1","◐MVP","",""
"프로필 기본정보","1.4·A","1. 사용자 앱","2","◐MVP","이름·닉네임·사진 / 신체정보(성별·나이·키·몸무게) / 선호 핏","편집 시 재진단 안내"
"내 진단 결과","1.4·B","1. 사용자 앱","2","★MVP","체형 프로필(캐릭터) / 브랜드별 추천 사이즈 / 재진단·공유·저장","진단 이력은 v2"
"코디 요청 내역","1.4·C","1. 사용자 앱","2","○v2","요청 목록+상태(대기·진행·완료) / 후기·평점 작성",""
"즐겨찾기","1.4·D","1. 사용자 앱","2","○v2","찜한 전문가(최신순·클릭→프로필)",""
"계정 관리","1.4·E","1. 사용자 앱","2","◐MVP","로그인 정보(이메일·소셜) / 개인정보·약관 / 로그아웃·탈퇴","알림 설정은 v2"
"로그인/회원가입","1.5","1. 사용자 앱","1","○선택","비회원 진단 가능·가치 경험 후 전환","lazy·전환 시점에만(1.3→1.5)"
"진입 트리거","1.5.0","1. 사용자 앱","2","○선택","결과 저장·매칭·마이 진입 시 시트 오픈","전환 트리거2"
"로그인·가입 선택","1.5.1","1. 사용자 앱","2","○선택","소셜(카카오·네이버·구글) 우선 / 이메일 보조","단일 시트"
"소셜 인증(OAuth)","1.5.2","1. 사용자 앱","2","○선택","콜백 / 신규→동의 / 기존→완료",""
"이메일 로그인","1.5.3","1. 사용자 앱","2","○선택","이메일+비번→인증",""
"이메일 회원가입","1.5.4","1. 사용자 앱","2","○선택","인증코드 발송·검증 / 중복확인·비번 규칙",""
"약관·필수 동의","1.5.5","1. 사용자 앱","2","○선택","만14세·이용약관·개인정보 필수 / 마케팅 선택","가입 게이트"
"가입·로그인 완료","1.5.6","1. 사용자 앱","2","○선택","토큰 발급→직전 맥락 복귀","비회원 결과→계정 영구 연결"
"비밀번호 찾기·재설정","1.5.7","1. 사용자 앱","2","○선택","이메일 인증→새 비번",""
"계정 연동·충돌 안내","1.5.8","1. 사용자 앱","2","○선택","동일 이메일·다른 소셜→통합 안내",""
"인증 에러·예외","1.5.9","1. 사용자 앱","2","○선택","401·취소·만료→재시도",""
"로그아웃·회원탈퇴","1.5.10","1. 사용자 앱","2","○선택","확인 모달→처리(데이터 파기)",""
"요청 & 매칭 라이프사이클","1.6","1. 사용자 앱","1","○v2","대기→수락·거절→진행중→완료(또는 취소·환불)","매칭하기 이후 상태 흐름"
"요청 보내기·확인","1.6.1","1. 사용자 앱","2","◐MVP","요청 요약·프로필 첨부 / [state]로그인 게이트(1.5) / 전송→대기","둘러보기·매칭 공통 착지"
"응답 대기","1.6.2","1. 사용자 앱","2","○v2","예상 응답시간·알림 예약 / [state]무응답→만료→재매칭",""
"수락됨","1.6.3","1. 사용자 앱","2","○v2","유저 알림 / 대화방 개설→1.7 / 유료 시 결제→1.8","진행 시작 트리거"
"거절·만료","1.6.4","1. 사용자 앱","2","○v2","알림 / 대안 추천 / 선결제 시 전액 환불→1.8.3",""
"진행중","1.6.5","1. 사용자 앱","2","○v2","스타일링 진행·대화로 소통 / 결과물 대기","결제 완료 후"
"완료","1.6.6","1. 사용자 앱","2","○v2","결과물 확인→완료 / 후기·평점(1.4·C) / 정산 트리거",""
"취소·분쟁","1.6.7","1. 사용자 앱","2","○v2","환불 정책(1.8.3) / 신고→어드민(3.B.3)","노쇼·불만족"
"대화(메시징)","1.7","1. 사용자 앱","1","○v2","1대1 / 동행 쇼핑 지역·장소는 대화에서 조율(위치 필드 없음)","수락 시 자동 개설·그 전 불가"
"대화방","1.7.1","1. 사용자 앱","2","○v2","텍스트·이미지·링크·파일 / 읽음 표시 / 상단 요청 요약 고정",""
"결과물 전달","1.7.2","1. 사용자 앱","2","○v2","추천 결과 카드(상품·코디·구매링크) / 유저 확인→완료","완료 트리거"
"알림·안전","1.7.3","1. 사용자 앱","2","○v2","새 메시지 알림 / 외부 직거래 차단 / 신고",""
"결제 & 정산(사용자)","1.8","1. 사용자 앱","1","○v2","트리거 수락 후 결제 요청","에스크로·MVP는 페이크도어 미구현"
"결제하기","1.8.1","1. 사용자 앱","2","○v2","금액+수수료 안내 / 카드·카카오·네이버·토스페이(PG) / [state]성공·실패·취소",""
"결제 상태","1.8.2","1. 사용자 앱","2","○v2","결제대기→완료(에스크로)→정산대기→정산완료 / 환불",""
"환불 규칙","1.8.3","1. 사용자 앱","2","○v2","미수락·취소 전액 / 진행 후 부분 / 노쇼 정책",""
"결제 내역·영수증","1.8.4","1. 사용자 앱","2","○v2","거래 내역·영수증 조회","마이 결제 내역"
"서비스 소개·작동 원리","G.1","G. 공통","0","★MVP","작동 방식 3스텝 / 정확도 근거","신뢰 형성"
"FAQ","G.2","G. 공통","0","○선택","자주 묻는 질문",""
"서비스 이용약관","G.3","G. 공통","0","★MVP","이용 조건·책임·분쟁","법적 필수"
"개인정보 처리방침","G.4","G. 공통","0","★MVP","수집·목적·보유·제3자·파기","체형·신체치수 민감정보"
"개인정보 수집·이용 동의","G.5","G. 공통","0","★MVP","진단 전 동의 체크·필수·선택 구분","진단 진입 게이트"
"알림","G.6","G. 공통","0","○선택","사용자 매칭·결과 / 전문가 새 요청·정산","양면 공통"
"404·에러","G.7","G. 공통","0","○선택","공유 URL 만료·네트워크 에러",""
"전문가 안내·혜택","2","2. 전문가 앱","0","□목업","수수료·정산·기대수익 / 1기 전문가 지원 CTA","공급자 랜딩·전부 목업"
"전문가 지원·등록","2.0.1","2. 전문가 앱","1","□목업","경력·전문분야·강점·포트폴리오 업로드",""
"심사·승인 대기","2.0.2","2. 전문가 앱","1","□목업","품질 관리 상태",""
"정산 계좌·세금 정보","2.0.3","2. 전문가 앱","1","□목업","입금 계좌·사업자·원천징수",""
"전문가 대시보드","2.1","2. 전문가 앱","0","□목업","들어온 요청·진행 중·가용 상태 토글","워크스페이스 홈"
"매칭 요청 상세","2.1.1","2. 전문가 앱","1","□목업","체형 프로필 수신 / 사이즈 번역 결과 수신 / 수락·거절","차별점 도구가 정확도 향상"
"고객 메시지·상담","2.1.1.1","2. 전문가 앱","2","□목업","자리·예산·취향 대화",""
"추천·결과 작성","2.1.1.2","2. 전문가 앱","2","□목업","온라인 상품·코디·구매링크 / 동행·컨설팅 예약·세션 노트",""
"서비스 상품 관리","2.2","2. 전문가 앱","0","□목업","서비스 전시·범위·시간·가격","사용자에게 보일 메뉴판"
"프로필·포트폴리오 관리","2.3","2. 전문가 앱","0","□목업","노출 프로필 편집·작업 사례·태그",""
"리뷰·평점 관리","2.4","2. 전문가 앱","0","□목업","받은 리뷰 열람·응대",""
"수익·정산","2.5","2. 전문가 앱","0","□목업","수수료 정산·수익 통계",""
"A 사이즈 엔진·데이터","3.A","3. 어드민","0","□목업","","핏팅의 심장"
"브랜드·상품 사이즈 DB","3.A.1","3. 어드민","1","□목업","브랜드x핏x사이즈 실측·출처·신뢰도 메타",""
"엔진 정확도 모니터링","3.A.2","3. 어드민","1","□목업","피드백 로그 오차 분석·자주 틀리는 지점",""
"번역 규칙·파라미터","3.A.3","3. 어드민","1","□목업","여유분·주관평가 cm 매핑 튜닝",""
"수집 파이프라인 상태","3.A.4","3. 어드민","1","□목업","크롤링 상태·신규 브랜드 커버리지",""
"B 회원·거래 운영","3.B","3. 어드민","0","□목업","",""
"전문가 승인·심사 큐","3.B.1","3. 어드민","1","□목업","승인·반려·품질 게이트",""
"회원 관리","3.B.2","3. 어드민","1","□목업","조회·정지·차단·CS",""
"분쟁·환불·신고","3.B.3","3. 어드민","1","□목업","노쇼·불만족 환불·신고 대응",""
"정산 집행·수수료 정책","3.B.4","3. 어드민","1","□목업","정산 승인·지급·수수료율",""
"리뷰 관리","3.B.5","3. 어드민","1","□목업","허위·악성 리뷰 조정",""
"C 사업 현황","3.C","3. 어드민","0","□목업","",""
"운영 대시보드","3.C.1","3. 어드민","1","□목업","GMV·수수료 매출·매칭 성사율",""
"제품 메트릭 대시보드","3.C.2","3. 어드민","1","□목업","진단 완료율·정확도·전환신호 추이",""
"D B2B API 사업(v3)","3.D","3. 어드민","0","□목업","","해자 교차 데이터"
"API 고객(쇼핑몰) 관리","3.D.1","3. 어드민","1","□목업","고객·계약·플랜",""
"API 키 발급·관리","3.D.2","3. 어드민","1","□목업","키 생성·권한·폐기",""
"API 사용량·과금·매출","3.D.3","3. 어드민","1","□목업","호출 기반 과금·매출 추적",""
"API 소개(외부용)","3.D.4","3. 어드민","1","□목업","데이터 자산 소개(반품 절감)",""
